ticker,company_name,quarter_end,filing_date,fiscal_year,fiscal_quarter,accession_number,form,total_assets,assets_current,cash,accounts_receivable_net,inventory_net,prepaid_expense_current,ppe_net,other_assets_noncurrent,liabilities_current,stockholders_equity,net_income,goodwill,intangibles_net,total_liabilities,assets_noncurrent,liabilities_noncurrent,marketable_securities
LDOS,"Leidos Holdings, Inc.",2020-07-03,2020-08-04,2021,Q2,0001336920-20-000069,10-Q,12143000000.0,3052000000.0,588000000.0,,294000000.0,,569000000.0,437000000.0,3429000000.0,3538000000.0,153000000.0,6266000000.0,1260000000.0,,,,
LDOS,"Leidos Holdings, Inc.",2020-10-02,2020-11-02,2021,Q3,0001336920-20-000083,10-Q,12285000000.0,3199000000.0,512000000.0,,292000000.0,,577000000.0,435000000.0,3398000000.0,3706000000.0,163000000.0,6158000000.0,1335000000.0,,,,
LDOS,"Leidos Holdings, Inc.",2021-04-02,2021-05-04,2022,Q1,0001336920-21-000019,10-Q,12638000000.0,3257000000.0,377000000.0,,268000000.0,,655000000.0,452000000.0,2920000000.0,3933000000.0,205000000.0,6456000000.0,1234000000.0,8658000000.0,,,
LDOS,"Leidos Holdings, Inc.",2021-07-02,2021-08-03,2022,Q2,0001336920-21-000038,10-Q,13035000000.0,3263000000.0,338000000.0,,251000000.0,,654000000.0,448000000.0,3108000000.0,4099000000.0,169000000.0,6707000000.0,1329000000.0,8887000000.0,,,
LDOS,"Leidos Holdings, Inc.",2021-10-01,2021-11-02,2022,Q3,0001336920-21-000052,10-Q,13281000000.0,3569000000.0,587000000.0,,268000000.0,,662000000.0,441000000.0,3347000000.0,4115000000.0,205000000.0,6650000000.0,1321000000.0,9115000000.0,,,
LDOS,"Leidos Holdings, Inc.",2022-04-01,2022-05-03,2023,Q1,0001336920-22-000024,10-Q,13030000000.0,3487000000.0,297000000.0,,279000000.0,,674000000.0,418000000.0,3494000000.0,3955000000.0,175000000.0,6742000000.0,1109000000.0,9022000000.0,,,
LDOS,"Leidos Holdings, Inc.",2022-07-01,2022-08-02,2023,Q2,0001336920-22-000034,10-Q,12887000000.0,3526000000.0,339000000.0,,286000000.0,,669000000.0,367000000.0,3906000000.0,4004000000.0,171000000.0,6673000000.0,1038000000.0,8830000000.0,,,
LDOS,"Leidos Holdings, Inc.",2025-04-04,2025-05-06,2026,Q1,0001336920-25-000014,10-Q,13197000000.0,4549000000.0,842000000.0,,347000000.0,,,543000000.0,2961000000.0,4257000000.0,363000000.0,6098000000.0,489000000.0,8895000000.0,,,
LDOS,"Leidos Holdings, Inc.",2025-07-04,2025-08-05,2026,Q2,0001336920-25-000034,10-Q,13549000000.0,4781000000.0,930000000.0,,364000000.0,,,386000000.0,2948000000.0,4662000000.0,391000000.0,6359000000.0,515000000.0,8842000000.0,,,
LDOS,"Leidos Holdings, Inc.",2025-10-03,2025-11-04,2026,Q3,0001336920-25-000060,10-Q,13542000000.0,4849000000.0,974000000.0,,360000000.0,,,348000000.0,2986000000.0,4909000000.0,367000000.0,6342000000.0,496000000.0,8588000000.0,,,
LDOS,"Leidos Holdings, Inc.",2022-07-01,2022-11-01,2023,Q2,0001336920-22-000060,10-Q,,,,,,,,,,4057000000.0,172000000.0,,,,,,
LHX,"L3HARRIS TECHNOLOGIES, INC. /DE/",2009-07-03,2009-10-28,2010,Q2,0000950123-09-054254,10-Q,4465100000.0,1859400000.0,281200000.0,,607200000.0,,543200000.0,134500000.0,1109700000.0,1869100000.0,104500000.0,1507100000.0,335600000.0,,2605700000.0,1486300000.0,
LHX,"L3HARRIS TECHNOLOGIES, INC. /DE/",2010-04-02,2010-04-29,2011,Q1,0000950123-10-040472,10-Q,4627700000.0,1911900000.0,405700000.0,,647200000.0,,584300000.0,154600000.0,1013100000.0,2116900000.0,166200000.0,1576800000.0,306400000.0,,2715800000.0,1497700000.0,
LHX,"L3HARRIS TECHNOLOGIES, INC. /DE/",2010-07-02,2010-10-28,2011,Q2,0000950123-10-097519,10-Q,4743600000.0,2004600000.0,455200000.0,,615300000.0,,609700000.0,147600000.0,1051800000.0,2189600000.0,163900000.0,1576200000.0,297800000.0,,2739000000.0,1501700000.0,
LHX,"L3HARRIS TECHNOLOGIES, INC. /DE/",2011-04-01,2011-05-04,2012,Q1,0000950123-11-044780,10-Q,6029300000.0,2633000000.0,885100000.0,,693900000.0,,758800000.0,214600000.0,1310100000.0,2484500000.0,139500000.0,1963400000.0,416000000.0,,3396300000.0,2223100000.0,
LHX,"L3HARRIS TECHNOLOGIES, INC. /DE/",2011-07-01,2011-10-27,2012,Q2,0001193125-11-284168,10-Q,6172800000.0,2216800000.0,366900000.0,,720800000.0,,872800000.0,193700000.0,1430500000.0,2502000000.0,,2381400000.0,502400000.0,,3956000000.0,2230300000.0,
LHX,"L3HARRIS TECHNOLOGIES, INC. /DE/",2015-04-03,2015-05-06,2016,Q1,0001193125-15-174801,10-Q,4834500000.0,2022100000.0,487700000.0,,635700000.0,,705500000.0,163500000.0,1047600000.0,1840700000.0,125700000.0,1665000000.0,207200000.0,,2812400000.0,1946500000.0,
LHX,"L3HARRIS TECHNOLOGIES, INC. /DE/",2015-07-03,2015-11-06,2016,Q2,0001193125-15-370424,10-Q,13129000000.0,3524000000.0,481000000.0,,1015000000.0,,1165000000.0,154000000.0,2281000000.0,3397000000.0,148000000.0,6348000000.0,1775000000.0,,9605000000.0,7446000000.0,
LHX,"L3HARRIS TECHNOLOGIES, INC. /DE/",2016-04-01,2016-05-04,2017,Q1,0000202058-16-000007,10-Q,11900000000.0,2866000000.0,302000000.0,,992000000.0,,1007000000.0,149000000.0,2012000000.0,3366000000.0,168000000.0,5940000000.0,1576000000.0,,9034000000.0,6521000000.0,
LHX,"L3HARRIS TECHNOLOGIES, INC. /DE/",2016-07-01,2016-11-02,2017,Q2,0000202058-16-000047,10-Q,11996000000.0,2608000000.0,487000000.0,,964000000.0,,1015000000.0,258000000.0,1964000000.0,3056000000.0,,5975000000.0,1542000000.0,,9388000000.0,6975000000.0,
LHX,"L3HARRIS TECHNOLOGIES, INC. /DE/",2020-04-03,2020-05-07,2021,Q1,0000202058-20-000040,10-Q,38105000000.0,7211000000.0,663000000.0,1278000000.0,990000000.0,,2032000000.0,530000000.0,5123000000.0,21898000000.0,217000000.0,19265000000.0,8171000000.0,,30894000000.0,10955000000.0,
LHX,"L3HARRIS TECHNOLOGIES, INC. /DE/",2020-07-03,2020-08-04,2021,Q2,0000202058-20-000053,10-Q,37852000000.0,6926000000.0,1947000000.0,1148000000.0,859000000.0,,2015000000.0,550000000.0,4587000000.0,22102000000.0,283000000.0,19015000000.0,8336000000.0,,30926000000.0,11039000000.0,
LHX,"L3HARRIS TECHNOLOGIES, INC. /DE/",2020-10-02,2020-11-02,2021,Q3,0000202058-20-000063,10-Q,37145000000.0,6393000000.0,1341000000.0,1128000000.0,894000000.0,,2047000000.0,547000000.0,4666000000.0,21313000000.0,426000000.0,18992000000.0,8172000000.0,,30752000000.0,11040000000.0,
LHX,"L3HARRIS TECHNOLOGIES, INC. /DE/",2021-04-02,2021-05-03,2022,Q1,0000202058-21-000020,10-Q,36590000000.0,7538000000.0,976000000.0,1096000000.0,904000000.0,,2136000000.0,499000000.0,4231000000.0,20367000000.0,468000000.0,18252000000.0,7265000000.0,,29052000000.0,11877000000.0,
LHX,"L3HARRIS TECHNOLOGIES, INC. /DE/",2021-07-02,2021-08-04,2022,Q2,0000202058-21-000046,10-Q,36064000000.0,7589000000.0,2029000000.0,1197000000.0,872000000.0,,2026000000.0,477000000.0,4464000000.0,19863000000.0,413000000.0,18234000000.0,6958000000.0,,28475000000.0,11624000000.0,
LHX,"L3HARRIS TECHNOLOGIES, INC. /DE/",2021-10-01,2021-10-29,2022,Q3,0000202058-21-000054,10-Q,35018000000.0,6626000000.0,1126000000.0,1027000000.0,1024000000.0,,2044000000.0,478000000.0,4313000000.0,19484000000.0,481000000.0,18207000000.0,6796000000.0,,28392000000.0,11111000000.0,
LHX,"L3HARRIS TECHNOLOGIES, INC. /DE/",2022-04-01,2022-04-29,2023,Q1,0000202058-22-000029,10-Q,34444000000.0,6249000000.0,402000000.0,1283000000.0,1090000000.0,,,571000000.0,4737000000.0,19260000000.0,475000000.0,18194000000.0,6486000000.0,,28195000000.0,10341000000.0,
LHX,"L3HARRIS TECHNOLOGIES, INC. /DE/",2022-07-01,2022-07-29,2023,Q2,0000202058-22-000051,10-Q,34138000000.0,6188000000.0,420000000.0,1191000000.0,1241000000.0,,,580000000.0,4884000000.0,19086000000.0,471000000.0,18143000000.0,6321000000.0,,27950000000.0,10064000000.0,
LHX,"L3HARRIS TECHNOLOGIES, INC. /DE/",2025-10-03,2025-10-30,2026,Q3,0000202058-25-000173,10-Q,41014000000.0,7593000000.0,339000000.0,1528000000.0,1291000000.0,,,3131000000.0,6638000000.0,19532000000.0,462000000.0,20370000000.0,7072000000.0,21482000000.0,,,
LHX,"L3HARRIS TECHNOLOGIES, INC. /DE/",2022-07-01,2022-10-31,2023,Q2,0000202058-22-000063,10-Q,,,,,,,,,,19190000000.0,,,,,,,
LMT,LOCKHEED MARTIN CORP,2010-09-26,2010-10-21,2010,Q3,0001193125-10-233655,10-Q,35551000000.0,13939000000.0,2656000000.0,,2093000000.0,,4347000000.0,4009000000.0,11638000000.0,3918000000.0,571000000.0,9588000000.0,158000000.0,31633000000.0,,,
LMT,LOCKHEED MARTIN CORP,2011-03-27,2011-04-27,2011,Q1,0001193125-11-112298,10-Q,36677000000.0,14743000000.0,3357000000.0,,2277000000.0,,4461000000.0,4452000000.0,12430000000.0,3791000000.0,530000000.0,9609000000.0,,32886000000.0,,,
LMT,LOCKHEED MARTIN CORP,2011-06-26,2011-07-27,2011,Q2,0001193125-11-199034,10-Q,35718000000.0,13954000000.0,3268000000.0,,2226000000.0,,4421000000.0,4460000000.0,12056000000.0,3288000000.0,742000000.0,9615000000.0,,32430000000.0,,,
LMT,LOCKHEED MARTIN CORP,2011-09-25,2011-10-27,2011,Q3,0001193125-11-284412,10-Q,36187000000.0,14669000000.0,4564000000.0,,1789000000.0,,4428000000.0,4388000000.0,12144000000.0,2943000000.0,700000000.0,9606000000.0,,33244000000.0,,,
LMT,LOCKHEED MARTIN CORP,2012-03-25,2012-04-26,2012,Q1,0001193125-12-186246,10-Q,38340000000.0,14561000000.0,3518000000.0,,2380000000.0,,4530000000.0,4789000000.0,12211000000.0,1573000000.0,668000000.0,10170000000.0,,36767000000.0,,,
LMT,LOCKHEED MARTIN CORP,2012-06-24,2012-07-25,2012,Q2,0001193125-12-314590,10-Q,38386000000.0,14800000000.0,3802000000.0,,,,4495000000.0,4747000000.0,12268000000.0,2204000000.0,781000000.0,10158000000.0,,36182000000.0,,,
LMT,LOCKHEED MARTIN CORP,2012-09-30,2012-10-25,2012,Q3,0001193125-12-435648,10-Q,39321000000.0,15791000000.0,4652000000.0,,,,4486000000.0,4788000000.0,12668000000.0,2442000000.0,727000000.0,10183000000.0,,36879000000.0,,,
LMT,LOCKHEED MARTIN CORP,2013-03-31,2013-04-25,2013,Q1,0001193125-13-170973,10-Q,39580000000.0,14872000000.0,3065000000.0,,,,4617000000.0,4985000000.0,12625000000.0,304000000.0,761000000.0,10356000000.0,,39276000000.0,,,
LMT,LOCKHEED MARTIN CORP,2013-06-30,2013-07-24,2013,Q2,0001193125-13-300659,10-Q,38947000000.0,14379000000.0,2845000000.0,,,,4594000000.0,4941000000.0,12253000000.0,694000000.0,859000000.0,10352000000.0,,38253000000.0,,,
