ticker,company_name,year_end,filing_date,fiscal_year,accession_number,net_income,total_assets,total_liabilities,log_total_assets,leverage,roa,asset_growth,return_next_year
CW,CURTISS WRIGHT CORP,2016-12-31,2017-02-21,2016,0000026324-17-000003,187329000,3037781000,1746590000.0,21.83439315162233,0.5749558641653233,0.06166639398956014,0.002773836741403681,0.3371775351966084
CW,CURTISS WRIGHT CORP,2017-12-31,2018-02-22,2017,0000026324-18-000003,214891000,3236321000,1708521000.0,21.897703027761942,0.5279207470457967,0.06639977925551885,0.06535691677576494,-0.12136017102995138
CW,CURTISS WRIGHT CORP,2018-12-31,2019-02-27,2018,0000026324-19-000003,275749000,3255385000,1724604000.0,21.903576385182358,0.5297695971444237,0.08470549566333936,0.005890639401962908,-0.016519371195873763
CW,CURTISS WRIGHT CORP,2019-12-31,2020-02-27,2019,0000026324-20-000004,307583000,3764261000,1989889000.0,22.04881739739202,0.5286267344373836,0.08171139036320808,0.15631822349737434,-0.12671120756372048
CW,CURTISS WRIGHT CORP,2020-12-31,2021-02-25,2020,0000026324-21-000007,201392000,4021334000,2233760000.0,22.11487952532638,0.5554773614924798,0.050080893554228526,0.0682930859470159,0.1920276070080754
CW,CURTISS WRIGHT CORP,2021-12-31,2022-02-24,2021,0000026324-22-000004,267159000,4103545000,2277055000.0,22.135117071222236,0.5548994832516763,0.06510444018525445,0.020443713454291537,0.1901565472551058
CW,CURTISS WRIGHT CORP,2022-12-31,2023-02-22,2022,0000026324-23-000005,294348000,4449602000,2457483000.0,22.21608049092248,0.5522927668586988,0.06615153445184535,0.08433123067981464,0.3015406818827032
CW,CURTISS WRIGHT CORP,2023-12-31,2024-02-20,2023,0000026324-24-000004,354509000,4620969000,2292556000.0,22.253870260307387,0.4961201860475584,0.07671745904376333,0.03851288272524149,0.28468102314513166
CW,CURTISS WRIGHT CORP,2024-12-31,2025-02-13,2024,0000026324-25-000015,404978000,4985704000,2535905000.0,22.3298404540601,0.5086352900212286,0.0812278466591679,0.07893041481126578,0.512565414806812
GD,GENERAL DYNAMICS CORP,2010-12-31,2011-02-18,2010,0001193125-11-039769,2624000000,32545000000,19229000000.0,24.205889583970762,0.5908434475341834,0.08062682439698879,0.04723750683785436,-0.04505796423897815
GD,GENERAL DYNAMICS CORP,2011-12-31,2012-02-17,2011,0001193125-12-066385,2526000000,34883000000,21651000000.0,24.275265441462924,0.6206748272797638,0.07241349654559527,0.07183899216469504,-0.03855938845791919
GD,GENERAL DYNAMICS CORP,2012-12-31,2013-02-08,2012,0000040533-13-000005,-332000000,34309000000,22919000000.0,24.25867354737045,0.668017138360197,-0.009676761199685214,-0.016455006736805895,0.45804402333592426
GD,GENERAL DYNAMICS CORP,2013-12-31,2014-02-07,2013,0000040533-14-000002,2357000000,35448000000,20947000000.0,24.291332670843598,0.5909219137892123,0.06649176258180997,0.033198286163980295,0.3104213626147715
GD,GENERAL DYNAMICS CORP,2014-12-31,2015-02-09,2014,0000040533-15-000009,2533000000,35355000000,23526000000.0,24.288705662002616,0.6654221467967756,0.07164474614623108,-0.0026235612728503725,-0.044821312947210944
GD,GENERAL DYNAMICS CORP,2015-12-31,2016-02-08,2015,0000040533-16-000056,2965000000,31997000000,21259000000.0,24.18890798535133,0.6644060380660687,0.09266493733787542,-0.09497949370668929,0.3371737609744799
GD,GENERAL DYNAMICS CORP,2016-12-31,2017-02-06,2016,0000040533-17-000006,2955000000,32872000000,21896000000.0,24.21588706852752,0.666098807495741,0.08989413482599172,0.02734631371691096,0.1345888550488659
GD,GENERAL DYNAMICS CORP,2017-12-31,2018-02-12,2017,0000040533-18-000008,2912000000,35046000000,23611000000.0,24.279927321232638,0.6737145465959026,0.08309079495520173,0.0661353127281577,-0.21811035965113218
GD,GENERAL DYNAMICS CORP,2018-12-31,2019-02-13,2018,0000040533-19-000010,3345000000,45408000000,33676000000.0,24.538954137924044,0.741631430584919,0.07366543340380549,0.295668549905838,0.09362685550469721
GD,GENERAL DYNAMICS CORP,2019-12-31,2020-02-10,2019,0000040533-20-000015,3484000000,48841000000,35264000000.0,24.61183596099978,0.7220163387318032,0.07133351077987757,0.07560341789992953,-0.11345592518139294
GD,GENERAL DYNAMICS CORP,2020-12-31,2021-02-09,2020,0000040533-21-000010,3167000000,51308000000,35647000000.0,24.661112522384016,0.6947649489358385,0.061725267014890464,0.050510841301365655,0.2927662781830071
GD,GENERAL DYNAMICS CORP,2021-12-31,2022-02-09,2021,0000040533-22-000007,3257000000,50073000000,32432000000.0,24.6367477776108,0.6476943662253111,0.06504503424999501,-0.02407032041786856,0.10904290422235904
GD,GENERAL DYNAMICS CORP,2022-12-31,2023-02-07,2022,0000040533-23-000014,3390000000,51585000000,33017000000.0,24.66649676949875,0.6400504022487157,0.06571677813317825,0.030195913965610208,0.1899631518460169
GD,GENERAL DYNAMICS CORP,2023-12-31,2024-02-08,2023,0000040533-24-000007,3315000000,54810000000,33511000000.0,24.727138496004436,0.611403028644408,0.06048166392993979,0.06251817388775807,-0.03573998964408328
GD,GENERAL DYNAMICS CORP,2024-12-31,2025-02-07,2024,0000040533-25-000008,3782000000,55880000000,33817000000.0,24.746472371335173,0.6051717967072298,0.067680744452398,0.01952198503922642,0.2896224753189608
HII,"HUNTINGTON INGALLS INDUSTRIES, INC.",2012-12-31,2013-02-27,2012,0001501585-13-000003,146000000,6392000000,5725000000.0,22.578313045410386,0.8956508135168961,0.022841051314142678,0.06515580736543909,0.7548923578548266
HII,"HUNTINGTON INGALLS INDUSTRIES, INC.",2013-12-31,2014-02-27,2013,0001501585-14-000005,261000000,6225000000,4704000000.0,22.551839279297184,0.7556626506024097,0.041927710843373496,-0.026126408010012515,0.3233732429022295
HII,"HUNTINGTON INGALLS INDUSTRIES, INC.",2014-12-31,2015-02-19,2014,0001501585-15-000005,338000000,6269000000,4904000000.0,22.558882689238242,0.7822619237517946,0.05391609507098421,0.007068273092369478,-0.054624529417815954
HII,"HUNTINGTON INGALLS INDUSTRIES, INC.",2015-12-31,2016-02-18,2015,0001501585-16-000038,404000000,6024000000,4534000000.0,22.519017327444004,0.75265604249668,0.06706507304116865,-0.039081193172754825,0.46785323710977117
HII,"HUNTINGTON INGALLS INDUSTRIES, INC.",2016-12-31,2017-02-16,2016,0001501585-17-000005,573000000,6352000000,4699000000.0,22.572035560891244,0.7397670025188917,0.09020780856423173,0.05444887118193891,0.23442853332665287
HII,"HUNTINGTON INGALLS INDUSTRIES, INC.",2017-12-31,2018-02-15,2017,0001501585-18-000006,479000000,6374000000,4616000000.0,22.575493052941557,0.7241920301223721,0.07514904298713523,0.0034634760705289673,-0.17879476498263494
HII,"HUNTINGTON INGALLS INDUSTRIES, INC.",2018-12-31,2019-02-14,2018,0001501585-19-000005,836000000,6383000000,4867000000.0,22.57690404322033,0.7624941250195832,0.13097289675701082,0.0014119861939127707,0.13806171982555246
HII,"HUNTINGTON INGALLS INDUSTRIES, INC.",2019-12-31,2020-02-13,2019,0001501585-20-000011,549000000,7031000000,5443000000.0,22.673594780163434,0.7741430806428673,0.07808277627648984,0.10151966160112799,-0.27582305933260687
HII,"HUNTINGTON INGALLS INDUSTRIES, INC.",2020-12-31,2021-02-11,2020,0001501585-21-000008,696000000,8157000000,6256000000.0,22.822142291264853,0.7669486330758858,0.08532548731151159,0.16014791637035983,0.07177918342452644
HII,"HUNTINGTON INGALLS INDUSTRIES, INC.",2021-12-31,2022-02-10,2021,0001501585-22-000007,544000000,10627000000,7819000000.0,23.08666376933697,0.7357673849628306,0.051190364166745085,0.30280740468309425,0.22211949979642975
HII,"HUNTINGTON INGALLS INDUSTRIES, INC.",2022-12-31,2023-02-09,2022,0001501585-23-000010,579000000,10857000000,7368000000.0,23.108075870196128,0.6786405084277425,0.053329649074329924,0.021642984849910604,0.24684892573061526
HII,"HUNTINGTON INGALLS INDUSTRIES, INC.",2023-12-31,2024-02-01,2023,0001501585-24-000007,681000000,11215000000,7122000000.0,23.140518004918583,0.6350423539901917,0.06072224699063754,0.03297411808050106,-0.27759947991882294
HII,"HUNTINGTON INGALLS INDUSTRIES, INC.",2024-12-31,2025-02-06,2024,0001501585-25-000006,550000000,12141000000,7475000000.0,23.21985399150825,0.6156823984844741,0.04530104604233589,0.08256798930004458,0.6740828875685092
KTOS,"KRATOS DEFENSE & SECURITY SOLUTIONS, INC.",2012-12-30,2013-03-12,2012,0001069258-13-000007,-114400000,1284000000,959900000.0,20.973246042214182,0.7475856697819314,-0.08909657320872275,0.055573824399868466,0.48410819505336494
KTOS,"KRATOS DEFENSE & SECURITY SOLUTIONS, INC.",2013-12-29,2014-03-12,2013,0001069258-14-000011,-37200000,1216600000,920800000.0,20.91932591985088,0.7568633897747822,-0.03057701791879007,-0.05249221183800623,-0.27193368626567854
KTOS,"KRATOS DEFENSE & SECURITY SOLUTIONS, INC.",2014-12-28,2015-03-13,2014,0001069258-15-000009,-78000000,1138800000,914500000.0,20.853240913368158,0.8030382859149983,-0.0684931506849315,-0.06394870951832977,-0.18533362227004838
KTOS,"KRATOS DEFENSE & SECURITY SOLUTIONS, INC.",2015-12-27,2016-03-11,2015,0001069258-16-000059,19800000,903300000,649100000.0,20.621565282120073,0.718587401749142,0.021919628030554632,-0.205554765964478,0.505835792139429
KTOS,"KRATOS DEFENSE & SECURITY SOLUTIONS, INC.",2016-12-25,2017-02-27,2016,0001069258-17-000009,-60500000,948600000,672200000.0,20.670497771407756,0.7086232342399326,-0.06377819945182374,0.05014945200929924,0.31834054268883666
KTOS,"KRATOS DEFENSE & SECURITY SOLUTIONS, INC.",2017-12-31,2018-02-28,2017,0001069258-18-000006,-42700000,1024000000,512500000.0,20.746982363563728,0.50048828125,-0.04169921875,0.07948555766392579,0.3965284637157199
KTOS,"KRATOS DEFENSE & SECURITY SOLUTIONS, INC.",2018-12-30,2019-02-28,2018,0001628280-19-002271,-3500000,1010100000,490800000.0,20.73331517279941,0.4858924858924859,-0.003465003465003465,-0.01357421875,-0.015258153599222859
KTOS,"KRATOS DEFENSE & SECURITY SOLUTIONS, INC.",2019-12-29,2020-02-24,2019,0001069258-20-000006,12500000,1186000000,596900000.0,20.893852137521947,0.5032883642495785,0.010539629005059023,0.17414117414117414,0.5658611102762802
KTOS,"KRATOS DEFENSE & SECURITY SOLUTIONS, INC.",2020-12-27,2021-02-25,2020,0001069258-21-000009,79600000,1562800000,622700000.0,21.16974492114519,0.398451497312516,0.05093422062963911,0.31770657672849917,-0.38963742046114813
KTOS,"KRATOS DEFENSE & SECURITY SOLUTIONS, INC.",2021-12-26,2022-02-22,2021,0001069258-22-000014,-2000000,1589500000,629200000.0,21.186685338315133,0.3958477508650519,-0.0012582573136206354,0.017084719733811107,-0.3440376535097846
KTOS,"KRATOS DEFENSE & SECURITY SOLUTIONS, INC.",2022-12-25,2023-02-23,2022,0001069258-23-000008,-36900000,1551500000,604000000.0,21.162488041852708,0.38930067676442154,-0.02378343538511118,-0.023906888958792075,0.35627922663045397
KTOS,"KRATOS DEFENSE & SECURITY SOLUTIONS, INC.",2023-12-31,2024-02-13,2023,0001069258-24-000007,-8900000,1632500000,634000000.0,21.21337841911486,0.3883614088820827,-0.005451761102603369,0.05220754108926845,0.2716115599440833
