ticker,company_name,quarter_end,filing_date,fiscal_year,fiscal_quarter,accession_number,net_income,total_assets,total_liabilities,log_total_assets,leverage,roa,asset_growth,return_next_q
CW,CURTISS WRIGHT CORP,2011-03-31,2011-05-06,2011,Q1,0000026324-11-000004,24516000.0,2306113000.0,1097972000.0,21.5588292601946,0.4761137030145531,0.010630875416772725,,-0.0023158550279439834
CW,CURTISS WRIGHT CORP,2011-06-30,2011-08-05,2011,Q2,0000026324-11-000007,31796000.0,2378165000.0,1131139000.0,21.58959501884659,0.4756352061358232,0.013369972226485546,0.031243915627725095,0.09906298635880934
CW,CURTISS WRIGHT CORP,2011-09-30,2011-11-04,2011,Q3,0000026324-11-000010,34360000.0,2451392000.0,1209555000.0,21.619921863424715,0.49341557776153305,0.0140165261206694,0.030791387477319698,0.11157723981760698
CW,CURTISS WRIGHT CORP,2012-03-31,2012-05-07,2012,Q1,0000026324-12-000004,41312000.0,2733725000.0,1434193000.0,21.72893098496602,0.5246295805174258,0.015111980905175173,0.11517252238728037,-0.08523348468734672
CW,CURTISS WRIGHT CORP,2012-06-30,2012-08-03,2012,Q2,0000026324-12-000006,22740000.0,2682639000.0,1384279000.0,21.71006684846123,0.5160138952725283,0.008476727580565257,-0.018687322243459016,0.015537866758480288
CW,CURTISS WRIGHT CORP,2012-09-30,2012-11-09,2012,Q3,0000026324-12-000008,11299000.0,2705705000.0,1390935000.0,21.71862834375296,0.5140748899085451,0.004175991100286247,0.008598249708589191,0.12747430621730557
CW,CURTISS WRIGHT CORP,2013-03-31,2013-05-02,2013,Q1,0000026324-13-000003,20943000.0,3226674000.0,1916196000.0,21.894717722291478,0.5938610470100171,0.006490584422225487,0.1925446417846735,0.12880206409455677
CW,CURTISS WRIGHT CORP,2013-06-30,2013-08-02,2013,Q2,0000026324-13-000009,33370000.0,3228941000.0,1845053000.0,21.89542005664481,0.5714111840383581,0.010334657709756853,0.0007025810478529904,0.05009915102786506
CW,CURTISS WRIGHT CORP,2013-09-30,2013-11-01,2013,Q3,0000026324-13-000013,36361000.0,3289166000.0,1837009000.0,21.91389987414756,0.5585029761343757,0.011054778019716853,0.018651626028471875,0.18527577106877144
CW,CURTISS WRIGHT CORP,2014-03-31,2014-05-01,2014,Q1,0000026324-14-000010,35164000.0,3458635000.0,1862291000.0,21.964139839506505,0.5384468150007156,0.010167016756610628,0.051523395292302064,-0.026007607551402592
CW,CURTISS WRIGHT CORP,2014-06-30,2014-07-31,2014,Q2,0000026324-14-000022,36391000.0,3506635000.0,1872062000.0,21.97792272512884,0.5338628057952994,0.010377755312429153,0.013878307482576218,0.011806606374628678
CW,CURTISS WRIGHT CORP,2014-09-30,2014-10-30,2014,Q3,0000026324-14-000030,25033000.0,3453823000.0,1856231000.0,21.962747570424423,0.5374424224981998,0.0072479105038098365,-0.015060592277211628,-0.00469788277230113
CW,CURTISS WRIGHT CORP,2015-03-31,2015-04-30,2015,Q1,0000026324-15-000009,15991000.0,3125399000.0,1724692000.0,21.86282779198438,0.5518309822201901,0.005116466729527974,-0.09508999158323979,0.009903638563022845
CW,CURTISS WRIGHT CORP,2015-06-30,2015-07-30,2015,Q2,0000026324-15-000024,25737000.0,3112611000.0,1704011000.0,21.858727760751943,0.5474538899978185,0.008268620781716701,-0.0040916375797138225,-0.06157487336010355
CW,CURTISS WRIGHT CORP,2015-09-30,2015-10-29,2015,Q3,0000026324-15-000027,33884000.0,3014701000.0,1694640000.0,21.826766491395205,0.5621253981738156,0.011239588934358665,-0.03145590631145363,-0.018398013614823808
CW,CURTISS WRIGHT CORP,2016-03-31,2016-05-05,2016,Q1,0000026324-16-000043,32819000.0,2963652000.0,1676945000.0,21.809688128580405,0.5658373520237868,0.011073837279140736,-0.01693335425304201,0.062092896549638496
CW,CURTISS WRIGHT CORP,2016-06-30,2016-07-28,2016,Q2,0000026324-16-000049,39963000.0,2979180000.0,1704909000.0,21.81491393181289,0.5722745856242322,0.013414093811048678,0.005239481558563556,0.023094209027639687
CW,CURTISS WRIGHT CORP,2016-09-30,2016-10-27,2016,Q3,0000026324-16-000052,45932000.0,3013984000.0,1726969000.0,21.826528628576572,0.5729854571225328,0.015239629672884792,0.01168240925355299,0.09434337950629451
CW,CURTISS WRIGHT CORP,2017-03-31,2017-05-04,2017,Q1,0000026324-17-000007,32547000.0,3017873000.0,1693518000.0,21.8278181155584,0.5611627792156927,0.010784748065939157,0.001290318727637572,0.05355535782493868
CW,CURTISS WRIGHT CORP,2017-06-30,2017-07-27,2017,Q2,0000026324-17-000015,50650000.0,3121274000.0,1728109000.0,21.86150708875577,0.5536550139462284,0.016227348191796043,0.03426287322229928,0.08085620183140392
CW,CURTISS WRIGHT CORP,2017-09-30,2017-10-26,2017,Q3,0000026324-17-000017,63944000.0,3221224000.0,1746748000.0,21.89302724849742,0.5422621959851286,0.019850839308287783,0.0320221806864761,0.03929301013834914
CW,CURTISS WRIGHT CORP,2018-03-31,2018-05-03,2018,Q1,0000026324-18-000005,43643000.0,3179059000.0,1600084000.0,21.879851077998232,0.5033200075871508,0.013728276197453397,-0.013089744767827385,-0.05873280956133046
CW,CURTISS WRIGHT CORP,2018-06-30,2018-07-26,2018,Q2,0000026324-18-000013,74788000.0,3230188000.0,1654092000.0,21.895806176821534,0.5120729815106737,0.0231528319713899,0.016083061056746666,0.056507780609581025
CW,CURTISS WRIGHT CORP,2018-09-30,2018-10-31,2018,Q3,0000026324-18-000018,74483000.0,3276071000.0,1654794000.0,21.909910675474055,0.5051154263750695,0.022735465745400512,0.014204436398129149,-0.07024448866329319
CW,CURTISS WRIGHT CORP,2019-03-31,2019-05-24,2019,Q1,0000026324-19-000014,55593000.0,3276071000.0,1654794000.0,21.909910675474055,0.5051154263750695,0.016969412445578865,,0.12246840623280272
CW,CURTISS WRIGHT CORP,2019-03-31,2019-05-24,2019,Q1,0000026324-19-000014,55593000.0,3276071000.0,1654794000.0,21.909910675474055,0.5051154263750695,0.016969412445578865,,0.1523662151657914
CW,CURTISS WRIGHT CORP,2019-03-31,2019-05-09,2019,Q1,0000026324-19-000005,55593000.0,3328802000.0,1743222000.0,21.925878316449936,0.5236784885373176,0.016700602799445567,,0.12246840623280272
CW,CURTISS WRIGHT CORP,2019-03-31,2019-05-09,2019,Q1,0000026324-19-000005,55593000.0,3328802000.0,1743222000.0,21.925878316449936,0.5236784885373176,0.016700602799445567,0.0,0.1523662151657914
CW,CURTISS WRIGHT CORP,2019-06-30,2019-08-01,2019,Q2,0000026324-19-000018,80072000.0,3426640000.0,1774344000.0,21.954846026173872,0.5178086989003805,0.02336749702332314,0.029391354607453374,0.05988202599416312
